Date,Year,Month,Month_Name,Day,Weekday,Quarter,Mode,Category,Category_Code,Subcategory,Note,Amount,Transaction_Type,Transaction_Type_Code
2017-05-30,2017,5,May,30,Tuesday,2,Cash,Food,18,beverage,Slice + Pepsi,40.0,Expense,0
2017-09-10,2017,9,September,10,Sunday,3,Saving Bank Account 1,Household,24,Kirana,Supermart,514.0,Expense,0
2015-02-02,2015,2,February,2,Monday,1,Saving Bank Account 1,Other,31,Unknown,Permanent Residence money transfer,10000.0,Expense,0
2018-01-08,2018,1,January,8,Monday,1,Credit Card,Household,24,Hardware,Sony WI-C100 earphones wireless,1399.0,Expense,0
2018-01-19,2018,1,January,19,Friday,1,Cash,Household,24,Kirana,Cakes,46.0,Expense,0
2017-04-01,2017,4,April,1,Saturday,2,Cash,Food,18,Grocery,Sambar masala (32)+ 2 milkybar,52.0,Expense,0
2017-03-27,2017,3,March,27,Monday,1,Saving Bank Account 1,Food,18,Milk,milk 1lit,60.0,Expense,0
2016-01-26,2016,1,January,26,Tuesday,1,Saving Bank Account 1,Subscription,45,Audible,audible subscription,199.0,Expense,0
2016-09-15,2016,9,September,15,Thursday,3,Cash,Food,18,Grocery,chocobar+milk+chips,95.0,Expense,0
2015-01-29,2015,1,January,29,Thursday,1,Cash,Food,18,Unknown,samosa,15.0,Expense,0
2018-06-27,2018,6,June,27,Wednesday,2,Credit Card,Apparel,1,Accessories,Purse,450.0,Expense,0
2017-02-11,2017,2,February,11,Saturday,1,Cash,Other,31,Unknown,courier,75.0,Expense,0
2017-05-28,2017,5,May,28,Sunday,2,Saving Bank Account 1,Food,18,Grocery,Mango 1 kg,140.0,Expense,0
2018-07-02,2018,7,July,2,Monday,3,Saving Bank Account 1,Household,24,Kirana,Supermart,1595.0,Expense,0
2017-10-10,2017,10,October,10,Tuesday,4,Saving Bank Account 1,Equity Mutual Fund F,14,Unknown,Unknown,1000.0,Transfer-Out,2
2017-05-07,2017,5,May,7,Sunday,2,Saving Bank Account 1,Food,18,snacks,Chicken manchow soup,98.0,Expense,0
2018-02-15,2018,2,February,15,Thursday,1,Saving Bank Account 1,Food,18,Grocery,Half kg tomato + methi 1 judi,30.0,Expense,0
2017-05-29,2017,5,May,29,Monday,2,Saving Bank Account 1,Food,18,Milk,milk 1lit,64.0,Expense,0
2018-03-22,2018,3,March,22,Thursday,1,Saving Bank Account 1,Food,18,snacks,Pickle,150.0,Expense,0
2017-02-12,2017,2,February,12,Sunday,1,Saving Bank Account 1,Other,31,Unknown,laptop repair (format 350 + quick heal pro 500),850.0,Expense,0
2016-09-19,2016,9,September,19,Monday,3,Cash,Food,18,Milk,Unknown,33.0,Expense,0
2015-12-21,2015,12,December,21,Monday,4,Saving Bank Account 1,Other,31,Unknown,kindle unlimited,169.0,Expense,0
2016-06-22,2016,6,June,22,Wednesday,2,Saving Bank Account 1,Subscription,45,Mobile Service Provider,Mobile Service Provider sim card porting,350.0,Expense,0
2018-07-29,2018,7,July,29,Sunday,3,Cash,Transportation,48,auto,Decathlon Place A to Place A station,50.0,Expense,0
2017-09-04,2017,9,September,4,Monday,3,Saving Bank Account 1,Food,18,Ice cream,4 cups (2 Vanilla 2 tutifruity),40.0,Expense,0
2017-12-24,2017,12,December,24,Sunday,4,Cash,Food,18,snacks,Gupta bhel,25.0,Expense,0
2017-05-28,2017,5,May,28,Sunday,2,Cash,Food,18,vegetables,Unknown,45.0,Expense,0
2017-06-22,2017,6,June,22,Thursday,2,Cash,Transportation,48,train,2 Place 0 to WS returns,20.0,Expense,0
2017-06-01,2017,6,June,1,Thursday,2,Saving Bank Account 1,Food,18,Milk,milk 1lit,65.0,Expense,0
2018-02-13,2018,2,February,13,Tuesday,1,Saving Bank Account 1,Small Cap Fund 1,42,Unknown,Unknown,5000.0,Transfer-Out,2
2018-08-03,2018,8,August,3,Friday,3,Cash,Family,15,Pocket money,Unknown,2000.0,Expense,0
2017-03-07,2017,3,March,7,Tuesday,1,Saving Bank Account 1,Food,18,Milk,milk 1lit,62.0,Expense,0
2016-11-19,2016,11,November,19,Saturday,4,Cash,Transportation,48,Taxi,share jeep - Place T base to top (50/person),100.0,Expense,0
2018-08-22,2018,8,August,22,Wednesday,3,Cash,Food,18,Milk,Half lit  milk,37.0,Expense,0
2017-09-01,2017,9,September,1,Friday,3,Saving Bank Account 1,Public Provident Fund,33,Unknown,Unknown,10000.0,Transfer-Out,2
2015-11-21,2015,11,November,21,Saturday,4,Saving Bank Account 1,Other,31,Unknown,Mobile Service Provider recharge wfh,251.0,Expense,0
